"","HOME","ROAD","GAME.DATE","SPREAD","H.PTS","R.PTS","Diff","sprError","VegDiffPred","VegHPred","VegRPred","PredDifflm01","PredDifflm02","PredHlm01","PredHlm02","PredRlm01","PredRlm02","dpcalm","Hpcalm","Rpcalm","PredDiffRF","PredHRF","PredRRF","PredDiffXGB","PredHXGB","PredRXGB","PredDiffglm","PredHglm","PredRglm"
"100","MIL","DET",2015-11-23,3,109,88,-21,-24,3.07662827510782,94.0751249352109,97.258183914904,4.84653876329492,4.89996611307506,94.470192995203,94.8765402009269,100.724774729488,102.268917286455,4.34668636922982,94.3596453968318,101.364741575855,1.84394557823129,97.8874421768708,97.3986360544218,3.00916218757629,97.8798751831055,85.8147583007812,0.42337861049357,98.2994950095082,100.234840892466
"107","MEM","HOU",2017-01-21,0,95,119,24,24,0.168068718714206,108.072388652025,108.221250581389,1.32362127072572,1.98682998828174,107.024347558014,106.568123029502,106.533262766148,106.470443805525,1.42179531444913,107.408412869764,106.607139636302,1.14036054421769,106.828224489796,104.659258503401,-2.10468363761902,105.624938964844,104.984565734863,0.35488080503684,106.002156292305,105.335433168621
"111","SAS","CLE",2017-03-27,-5,103,74,-29,-24,-4.67953054194182,108.317954682144,103.592400211095,-8.35993288110384,-8.38071167423535,110.847639402172,109.711485982439,100.958823954374,101.44480862975,-7.62249859934159,111.868599023254,102.296906823172,-6.47589115646259,109.829428571429,102.69119047619,-5.80102443695068,110.76318359375,103.754486083984,-5.31059185688046,109.832873068606,103.188732357423
"112","DET","CHI",2013-11-27,-3.5,79,99,20,23.5,-3.22525076374501,94.56625699545,91.411215026112,-5.72799180980415,-3.78722114862284,97.0667994644774,98.14221085809,92.6627791560545,91.6616893597435,-5.27256115729186,96.9972654900822,92.2261351069272,-2.78942176870748,96.8207823129252,94.4159761904761,0.80492627620697,95.0574493408203,92.2157287597656,-3.32872533930483,98.5693989431182,94.121446219821
"115","CHI","GSW",2014-02-26,3.5,103,83,-20,-23.5,3.56138820117343,91.865030664135,95.5528179890064,-0.501865695639325,0.184960153174298,96.5344154170408,96.8423758255441,94.8494452893966,94.3233052920141,-0.583434334691834,96.7251268263536,95.3491967427504,-0.168098639455782,95.1624965986395,94.9150272108844,0.027082696557045,90.5877456665039,91.0929565429688,-0.559268956523246,97.4672570860563,96.7384859769779
"117","IND","DEN",2014-11-14,-2.5,87,108,21,23.5,-2.25573091161381,101.196539808678,98.9635498408017,-9.99492984362737,-12.5058378343422,103.419333313155,101.349145765297,95.35358120862,94.1305423372256,-8.6109658230544,103.601754842199,94.5062294080271,-9.80336394557823,100.770238095238,93.6271394557824,-6.23396825790405,96.5213394165039,91.085693359375,-5.84713329500431,103.180569501239,96.6637231888683
"120","IND","ORL",2015-03-10,-8.5,118,86,-32,-23.5,-8.07285002440104,98.2497474472431,90.1930965076136,-5.55893492184482,-5.43759564263519,97.6977116711681,97.4211297768658,92.3087498522524,93.4414003006389,-6.44334541240286,97.9324537599048,91.9310708964174,-7.53246598639456,99.8286598639456,88.4701598639456,-7.16037464141846,99.0110092163086,88.2051467895508,-5.04148062619472,99.9244761851912,94.9528189418086
"127","LAC","DET",2016-11-07,-8.5,114,82,-32,-23.5,-8.07285002440104,103.161068049634,95.065570581607,-6.35549330159737,-6.841061604291,100.161296118385,99.7610520441796,95.1401741778367,95.1550971969318,-6.33650499700785,100.01291383085,94.5213429846691,-6.05973129251701,99.2674013605442,94.6751870748299,-5.19349050521851,100.275024414062,88.4657211303711,-4.61505949089545,100.015606532073,96.374068489889
"128","UTA","ATL",2016-11-25,-3.5,95,68,-27,-23.5,-3.22525076374501,99.9687096580799,96.7709365075047,-0.706570239420713,-1.83159612375607,98.9836948119125,99.8131712324206,97.4411444496756,95.7794888110243,-0.1849432062654,98.7116750323751,97.4927988580423,-1.04271088435374,97.9105986394558,96.4442891156463,-1.40086710453033,98.8955078125,97.9652099609375,-1.31118409066719,100.792340515542,97.8387720447979
"132","MEM","ATL",2017-03-11,-6.5,90,107,17,23.5,-6.13381032013863,106.353426441188,100.1816683593,-1.34945696028581,-1.99948626566336,106.213832342469,106.089473610998,104.948802426107,104.69536583009,-2.40815002012141,106.330903095099,103.926165845212,-4.43277210884354,108.580319727891,101.739636054422,-4.57209777832031,108.213882446289,100.66625213623,-3.08970855610359,106.602585071472,103.465463488873
