"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"303","CHA","MEM",2016-11-21,0,-5.5,1,0.792765265692897,1,0.792765265692897,1,0.687998483789685,1,"1","1",0.697832503064493,1,0.711692810058594,0.74
"306","DEN","DAL",2017-02-06,1,-2.5,1,0.480008904455071,0,0.480008904455071,0,0.540345578648919,1,"1","1",0.539821895294911,1,0.560876905918121,0.5
"310","SAS","LAL",2017-04-05,0,-13.5,1,0.908433331050536,1,0.908433331050536,1,0.904668783353955,1,"1","1",0.878390068616819,1,0.905449688434601,1
"312","SAC","PHX",2017-04-11,1,-4.5,1,0.678026841565431,1,0.678026841565431,1,0.663773975501524,1,"1","1",0.634258874111324,1,0.673450529575348,0.8
"318","WAS","OKC",2014-02-01,1,5,0,0.259518540613215,0,0.259518540613215,0,0.282611004007397,0,"0","0",0.317578470325599,0,0.281243145465851,0.05
"320","NYK","UTA",2014-03-07,1,-7,1,0.574534781556885,1,0.574534781556885,1,0.653094055816873,1,"1","1",0.633896501651056,1,0.643167495727539,0.88
"324","LAL","GSW",2014-12-23,1,10,0,0.233432065457365,0,0.233432065457365,0,0.133883362188735,0,"0","0",0.183438960378324,0,0.143815457820892,0.07
"326","UTA","GSW",2015-01-30,1,10,0,0.257831644786587,0,0.257831644786587,0,0.24259392051736,0,"0","0",0.260806855669637,0,0.240737974643707,0.13
"327","SAC","DAL",2015-02-05,0,3,0,0.22488796805364,0,0.22488796805364,0,0.306824834881949,0,"0","0",0.33440415602924,0,0.300863951444626,0.24
"330","DEN","ATL",2015-03-11,1,7,0,0.288465835900024,0,0.288465835900024,0,0.270931153332357,0,"0","0",0.329894323254442,0,0.273175597190857,0.2
"339","MEM","LAC",2016-03-19,1,9,0,0.396270270365251,0,0.396270270365251,0,0.421182109291792,0,"0","0",0.404991433080655,0,0.400650709867477,0.32
"348","BOS","NYK",2017-01-18,0,-9,1,0.74846797252949,1,0.74846797252949,1,0.764850511068968,1,"1","1",0.738917043095748,1,0.757978677749634,0.96
"350","ATL","ORL",2017-02-04,1,-7,1,0.613961630108021,1,0.613961630108021,1,0.665739595165564,1,"1","1",0.669675956123124,1,0.648836851119995,0.95
"357","SAC","DAL",2013-12-09,1,4.5,0,0.44270967931759,0,0.44270967931759,0,0.460671524235032,0,"0","0",0.492259901078646,0,0.477761119604111,0.44
"359","LAL","DEN",2014-01-05,0,2.5,0,0.53594682946115,1,0.53594682946115,1,0.521643680864824,1,"0","1",0.541648971907735,1,0.510982692241669,0.47
"370","LAL","POR",2015-04-03,0,10.5,0,0.282244600134186,0,0.282244600134186,0,0.282449119532053,0,"0","0",0.317956938199613,0,0.290602773427963,0.08
"371","HOU","DAL",2015-11-14,0,-7.5,1,0.387667159041345,0,0.387667159041345,0,0.385926803574863,0,"0","0",0.41445391770832,0,0.375039637088776,0.36
"385","LAC","HOU",2017-04-10,1,-9.5,1,0.636533858642229,1,0.636533858642229,1,0.655254537434051,1,"1","1",0.650229125101091,1,0.678106307983398,0.69
"389","LAL","MIN",2013-12-20,1,6,0,0.380653831407949,0,0.380653831407949,0,0.376881604657957,0,"0","0",0.422057934590164,0,0.396138161420822,0.29
"393","ATL","MIA",2014-04-12,1,6,0,0.322240162315903,0,0.322240162315903,0,0.329953357716912,0,"0","0",0.397984407047396,0,0.321706473827362,0.24
"405","OKC","SAS",2015-04-07,0,6,0,0.452041689504939,0,0.452041689504939,0,0.392653503803699,0,"0","0",0.403210785460513,0,0.401046365499496,0.22
"408","CHA","MIA",2015-12-09,1,1,0,0.480074100292145,0,0.480074100292145,0,0.530173208684294,1,"0","1",0.524745471572929,1,0.512019574642181,0.49
"409","OKC","CHI",2015-12-25,0,-10,1,0.834887830618667,1,0.834887830618667,1,0.831040407382599,1,"1","1",0.796960680303185,1,0.82565826177597,0.94
"414","CHI","MIA",2017-01-27,0,-7,1,0.593944359594418,1,0.593944359594418,1,0.646105156683198,1,"1","1",0.607963086950851,1,0.633348286151886,0.71
"416","HOU","IND",2017-02-27,0,-10,1,0.741708860283363,1,0.741708860283363,1,0.737990089484402,1,"1","1",0.761229701985572,1,0.751121163368225,0.85
"420","TOR","IND",2014-01-01,1,5.5,0,0.305244485827997,0,0.305244485827997,0,0.264585776658062,0,"0","0",0.304129767625743,0,0.264305800199509,0.2
"421","POR","CHA",2014-01-02,1,-11.5,1,0.670693782476976,1,0.670693782476976,1,0.780034382228136,1,"1","1",0.743654746585221,1,0.761922001838684,0.79
