"","HOME","ROAD","GAME.DATE","W.L","SPREAD","VegPred","log1Pred","log1WL","log2Pred","log2WL","log3Pred","log3WL","RFWL","XGWL","lassoPred","lassoWL","XGPred","RFPred"
"1270","HOU","ATL",2014-12-20,0,-5,1,0.430681993923135,0,0.430681993923135,0,0.42092288850054,0,"0","0",0.4584053477003,0,0.428766012191772,0.5
"1272","BOS","DAL",2015-01-02,0,6,0,0.358442040981108,0,0.358442040981108,0,0.421292048468757,0,"0","0",0.422852175452078,0,0.406847417354584,0.4
"1275","SAS","MIN",2015-03-15,1,-14,1,0.92366121021418,1,0.92366121021418,1,0.885922553301339,1,"1","1",0.867443348959405,1,0.890753924846649,0.95
"1277","MIN","UTA",2015-03-30,0,8,0,0.292530598303811,0,0.292530598303811,0,0.319235758656359,0,"0","0",0.367636712330951,0,0.303410798311234,0.35
"1292","POR","CHA",2016-01-29,1,-6,1,0.649275854287209,1,0.649275854287209,1,0.620128746423105,1,"1","1",0.60284996892955,1,0.621414721012115,0.65
"1294","LAL","MEM",2016-02-26,0,5,0,0.325953332811164,0,0.325953332811164,0,0.316354048805632,0,"0","0",0.338103488633074,0,0.30486798286438,0.31
"1301","ATL","HOU",2016-11-05,1,-3,1,0.718087412274725,1,0.718087412274725,1,0.7547462913188,1,"1","1",0.738785767199583,1,0.752037703990936,0.84
"1306","BKN","SAC",2016-11-27,0,5,0,0.40143582681297,0,0.40143582681297,0,0.416335235454847,0,"0","0",0.43941520564008,0,0.411725372076035,0.27
"1313","SAS","MIL",2017-01-10,0,-10,1,0.747932848736484,1,0.747932848736484,1,0.77853026213829,1,"1","1",0.754937773847133,1,0.766552746295929,0.93
"1315","MIN","OKC",2017-01-13,1,2,0,0.621107985476424,1,0.621107985476424,1,0.566965135594047,1,"0","1",0.545101596925076,1,0.573503196239471,0.51
"1320","POR","BOS",2017-02-09,0,-3,1,0.562325872196166,1,0.562325872196166,1,0.523548848164162,1,"0","1",0.522283112072088,1,0.532514274120331,0.22
"1322","WAS","UTA",2017-02-26,0,-2,1,0.417231111794499,0,0.417231111794499,0,0.450443111125726,0,"0","0",0.50307594247014,1,0.43462336063385,0.45
"1327","TOR","ORL",2017-03-27,1,-7,1,0.881245735133777,1,0.881245735133777,1,0.856666455205629,1,"1","1",0.816436744381478,1,0.855937063694,0.98
"1333","WAS","ORL",2013-12-02,1,-6.5,1,0.527007407698252,1,0.527007407698252,1,0.585177453384643,1,"1","1",0.582918390383679,1,0.579889416694641,0.72
"1334","DET","MIA",2013-12-08,0,3.5,0,0.436464558310646,0,0.436464558310646,0,0.332990229851656,0,"0","0",0.409685065624517,0,0.350055724382401,0.53
"1336","WAS","BOS",2014-01-22,0,-9.5,1,0.648327998521854,1,0.648327998521854,1,0.686064100679433,1,"1","1",0.704211338908201,1,0.681126117706299,0.84
"1339","BOS","SAC",2014-02-07,1,1.5,0,0.458116579289291,0,0.458116579289291,0,0.520676617720825,1,"1","1",0.525449230439041,1,0.519782781600952,0.69
"1344","CHI","MIA",2014-03-09,1,4.5,0,0.331682445013666,0,0.331682445013666,0,0.386031880292083,0,"0","0",0.422002715052652,0,0.391546189785004,0.49
"1345","BKN","MIN",2014-03-30,1,-3.5,1,0.500017082328389,1,0.500017082328389,1,0.518104357496713,1,"0","1",0.525032655925227,1,0.501694202423096,0.47
"1348","NOP","OKC",2014-12-02,1,3.5,0,0.629043092679427,1,0.629043092679427,1,0.69299573023329,1,"1","1",0.647756179910088,1,0.700961470603943,0.65
"1354","NYK","DET",2015-01-02,0,4.5,0,0.408658966189104,0,0.408658966189104,0,0.462282250117128,0,"0","0",0.422490148209998,0,0.430436939001083,0.4
"1356","NYK","HOU",2015-01-08,0,12.5,0,0.198354991874609,0,0.198354991874609,0,0.261200107086577,0,"0","0",0.279012519072512,0,0.253599256277084,0.18
"1357","CHI","WAS",2015-01-14,0,-5.5,1,0.535791723271429,1,0.535791723271429,1,0.560887818590716,1,"1","1",0.544775297750651,1,0.566945970058441,0.52
"1359","TOR","SAC",2015-01-28,1,-5.5,1,0.744090033038125,1,0.744090033038125,1,0.762571241154688,1,"1","1",0.74350126242476,1,0.763803780078888,0.87
"1361","WAS","CHA",2015-02-02,0,-7.5,1,0.769765178388858,1,0.769765178388858,1,0.784817577703401,1,"1","1",0.746620582491753,1,0.774679481983185,0.97
"1364","OKC","MEM",2015-02-11,1,-4.5,1,0.504126923125679,1,0.504126923125679,1,0.473143356088294,0,"1","0",0.520684365865435,1,0.471520125865936,0.43
"1373","CHI","CHA",2015-12-05,0,-5.5,1,0.472175059971195,0,0.472175059971195,0,0.499089613189788,0,"1","0",0.497852551355414,0,0.488031178712845,0.49
"1377","ATL","NYK",2015-12-26,1,-7.5,1,0.734170369854795,1,0.734170369854795,1,0.720132281511259,1,"1","1",0.710051315187585,1,0.728033781051636,0.86
"1378","MIN","MIL",2016-01-02,0,-1.5,1,0.676837570973203,1,0.676837570973203,1,0.630320363783859,1,"1","1",0.621743877171103,1,0.646858751773834,0.75
"1387","PHX","MEM",2016-02-27,1,6.5,0,0.279225455152587,0,0.279225455152587,0,0.303022094295546,0,"0","0",0.323079000951156,0,0.297185719013214,0.16
"1392","PHI","NOP",2016-04-05,1,-2.5,1,0.309970180420975,0,0.309970180420975,0,0.358034281846949,0,"0","0",0.387188576485513,0,0.345713645219803,0.24
"1394","PHX","DET",2016-11-09,1,4.5,0,0.319282134831505,0,0.319282134831505,0,0.363665817374677,0,"1","0",0.401090707389403,0,0.345949828624725,0.4
"1404","BKN","NOP",2017-01-12,0,-2.5,1,0.333637077672899,0,0.333637077672899,0,0.421437909029093,0,"0","0",0.426030736729374,0,0.397056400775909,0.45
"1405","HOU","GSW",2017-01-20,0,5.5,0,0.325494191538941,0,0.325494191538941,0,0.360486298673059,0,"0","0",0.382587186063174,0,0.354939788579941,0.19
"1406","BOS","POR",2017-01-21,0,-7.5,1,0.715845881032513,1,0.715845881032513,1,0.737351736869602,1,"1","1",0.720075868842251,1,0.72510689496994,0.88
"1407","DAL","CLE",2017-01-30,1,4.5,0,0.336755876094332,0,0.336755876094332,0,0.447640287945363,0,"0","0",0.466594941425473,0,0.438677698373795,0.45
"1411","LAC","ATL",2017-02-15,1,-3.5,1,0.739722762983913,1,0.739722762983913,1,0.703505708758002,1,"1","1",0.670476077145081,1,0.710039019584656,0.75
"1413","BKN","OKC",2017-03-14,0,6.5,0,0.397475318034642,0,0.397475318034642,0,0.398020980750948,0,"0","0",0.458246442093325,0,0.402794986963272,0.27
"1416","POR","SAS",2017-04-10,1,10.5,0,0.427089338618104,0,0.427089338618104,0,0.377996926500243,0,"0","0",0.422013500716654,0,0.393506288528442,0.42
"1417","DEN","CHI",2013-11-21,1,1,0,0.426399431079239,0,0.426399431079239,0,0.378348260985259,0,"0","0",0.416368879470505,0,0.414632648229599,0.51
"1422","WAS","LAC",2013-12-14,0,5,0,0.521078998984856,1,0.521078998984856,1,0.469829450221105,0,"0","0",0.47776964858198,0,0.455530554056168,0.32
"1425","BKN","WAS",2013-12-18,0,-5,1,0.557589612982711,1,0.557589612982711,1,0.575835623669805,1,"1","1",0.626989453194752,1,0.592322647571564,0.7
"1432","HOU","SAC",2014-01-22,1,-10,1,0.809554087879021,1,0.809554087879021,1,0.76620370089804,1,"1","1",0.77172998312327,1,0.791685342788696,0.98
"1433","CLE","PHX",2014-01-26,0,-2,1,0.374141696655925,0,0.374141696655925,0,0.34978804333565,0,"0","0",0.366717425060302,0,0.336887955665588,0.12
"1436","MIL","NYK",2014-02-03,1,8,0,0.275003760317208,0,0.275003760317208,0,0.301741342259061,0,"0","0",0.30329707684554,0,0.304867774248123,0.18
"1439","MIL","SAC",2014-03-05,0,3,0,0.503192937627521,1,0.503192937627521,1,0.465434756036777,0,"0","0",0.5019077527795,1,0.470526874065399,0.43
"1441","PHI","NYK",2014-03-21,0,12,0,0.303237854855376,0,0.303237854855376,0,0.25009713254721,0,"0","0",0.277317142277957,0,0.26357164978981,0.17
"1442","SAS","GSW",2014-04-02,1,-10,1,0.749586402039779,1,0.749586402039779,1,0.735010546812231,1,"1","1",0.737550080313195,1,0.74833357334137,0.94
"1443","UTA","LAC",2014-11-29,0,5,0,0.260936205053702,0,0.260936205053702,0,0.33619845599329,0,"0","0",0.364175481452446,0,0.343589931726456,0.24
"1446","MIA","CHI",2014-12-14,0,7,0,0.433358114283199,0,0.433358114283199,0,0.495061341797367,0,"1","0",0.459446244207202,0,0.488838523626328,0.48
"1447","ORL","UTA",2014-12-19,0,-4,1,0.529531672387217,1,0.529531672387217,1,0.532620070141045,1,"1","1",0.537212456629294,1,0.516320466995239,0.69
"1449","CHA","IND",2015-01-17,1,2,0,0.585197270414976,1,0.585197270414976,1,0.626277839092361,1,"1","1",0.635651617261246,1,0.625012695789337,0.81
"1450","ORL","MIL",2015-01-29,0,4,0,0.400892829666246,0,0.400892829666246,0,0.362192423702038,0,"0","0",0.400522429113014,0,0.376497983932495,0.27
"1456","LAC","DEN",2015-04-13,1,-18,1,0.892664356947731,1,0.892664356947731,1,0.833760091725798,1,"1","1",0.811725119508907,1,0.834332525730133,0.97
"1463","NYK","ORL",2015-12-21,0,-3,1,0.392055201506091,0,0.392055201506091,0,0.475811322034003,0,"1","0",0.51284491489216,1,0.45786440372467,0.52
"1471","LAC","SAC",2016-01-16,0,-4,1,0.736524973021109,1,0.736524973021109,1,0.788966948964599,1,"1","1",0.779715793240641,1,0.796570241451263,0.9
"1472","BOS","ORL",2016-01-29,1,-8,1,0.698928463813083,1,0.698928463813083,1,0.7513468671938,1,"1","1",0.750118164395381,1,0.763244807720184,0.83
"1478","SAS","NOP",2016-03-30,1,-19,1,0.911161918727504,1,0.911161918727504,1,0.917414886020437,1,"1","1",0.882347959022962,1,0.913089334964752,0.98
"1479","HOU","OKC",2016-04-03,1,3,0,0.374008135330656,0,0.374008135330656,0,0.335578195392178,0,"0","0",0.373405921496658,0,0.335679888725281,0.18
"1480","IND","ORL",2016-11-14,1,-8,1,0.775643995709672,1,0.775643995709672,1,0.752300787201607,1,"1","1",0.723014925613775,1,0.742762982845306,0.77
"1482","PHX","MIN",2016-11-25,0,2,0,0.407899871022284,0,0.407899871022284,0,0.442814831868137,0,"0","0",0.493412948817755,0,0.445544838905334,0.36
"1491","DAL","HOU",2016-12-27,0,5,0,0.313028918884566,0,0.313028918884566,0,0.370713206235801,0,"0","0",0.381013328983365,0,0.36824032664299,0.26
"1494","BKN","PHI",2017-01-08,0,-1,1,0.499474571071221,0,0.499474571071221,0,0.5273195300826,1,"1","1",0.542287373912321,1,0.524946391582489,0.68
"1496","DAL","MIN",2017-01-15,1,0,1,0.390776888079322,0,0.390776888079322,0,0.434749191582918,0,"0","0",0.4595352799027,0,0.426807999610901,0.26
"1515","UTA","TOR",2014-02-03,0,4.5,0,0.295382771252636,0,0.295382771252636,0,0.286456561775874,0,"0","0",0.330543887177251,0,0.279430866241455,0.18
"1520","CHI","IND",2014-03-24,1,-1.5,1,0.446817952138634,0,0.446817952138634,0,0.406675602129951,0,"0","0",0.452178945261181,0,0.415141046047211,0.22
"1521","ATL","CHI",2014-04-02,0,2.5,0,0.485389533333184,0,0.485389533333184,0,0.54031809528917,1,"0","1",0.50941262307717,1,0.542740404605865,0.59
"1525","MEM","BOS",2014-11-21,1,-6.5,1,0.690457446615311,1,0.690457446615311,1,0.779686792568684,1,"1","1",0.743459461755423,1,0.782312452793121,0.64
"1530","MIL","LAC",2014-12-13,1,5.5,0,0.334505576083132,0,0.334505576083132,0,0.348685917513463,0,"0","0",0.359586232494374,0,0.339831590652466,0.26
"1533","POR","NYK",2014-12-28,1,-11.5,1,0.84131059395797,1,0.84131059395797,1,0.841520937826209,1,"1","1",0.845499199952475,1,0.8496333360672,0.96
"1539","IND","SAC",2015-01-31,0,-5.5,1,0.67194709984066,1,0.67194709984066,1,0.663334551872664,1,"1","1",0.646764805098048,1,0.6586634516716,0.78
"1545","BKN","PHX",2015-03-06,0,-2.5,1,0.542932247022004,1,0.542932247022004,1,0.546355203892294,1,"1","1",0.54535300088853,1,0.554091036319733,0.41
"1549","DAL","SAS",2015-03-24,1,3.5,0,0.569930449681274,1,0.569930449681274,1,0.562842464613395,1,"1","1",0.553517003905763,1,0.582327783107758,0.61
"1551","SAS","GSW",2015-04-05,1,-4.5,1,0.463274018445485,0,0.463274018445485,0,0.486477417861328,0,"0","0",0.511766066675323,1,0.483082383871078,0.4
"1553","NOP","SAS",2015-04-15,1,5.5,0,0.424490850724569,0,0.424490850724569,0,0.378243161204231,0,"0","0",0.390829530986447,0,0.382878601551056,0.31
"1559","DET","LAL",2015-12-06,1,-9.5,1,0.792452325150586,1,0.792452325150586,1,0.759726302555146,1,"1","1",0.758422018854504,1,0.759385228157043,0.92
"1561","DEN","HOU",2015-12-14,1,4.5,0,0.438640818985696,0,0.438640818985696,0,0.463549979798653,0,"0","0",0.465001792436483,0,0.445045173168182,0.37
"1563","WAS","ORL",2016-01-01,1,-1.5,1,0.374596982557932,0,0.374596982557932,0,0.404702328519575,0,"0","0",0.456788719391171,0,0.409846395254135,0.37
"1565","NOP","MIL",2016-01-23,1,-6.5,1,0.600260179652783,1,0.600260179652783,1,0.677036870621636,1,"1","1",0.653912091434276,1,0.660926580429077,0.84
"1566","ORL","LAC",2016-02-05,0,3.5,0,0.389503233363402,0,0.389503233363402,0,0.398595377565199,0,"0","0",0.392451582100577,0,0.371632188558578,0.22
"1572","SAC","WAS",2016-03-30,1,1.5,0,0.470861144363378,0,0.470861144363378,0,0.553107152477192,1,"1","1",0.559301444408388,1,0.544766902923584,0.54
"1575","SAC","OKC",2016-04-09,1,8.5,0,0.318944857011464,0,0.318944857011464,0,0.343550036943625,0,"0","0",0.390671699737667,0,0.334381461143494,0.15
"1576","IND","BKN",2016-04-10,1,-13.5,1,0.807532642623586,1,0.807532642623586,1,0.807713545723582,1,"1","1",0.794221992484755,1,0.80300498008728,0.95
"1579","LAL","CHI",2016-11-20,0,-2.5,1,0.481244845819916,0,0.481244845819916,0,0.525645744307236,1,"0","1",0.526917025723197,1,0.516238451004028,0.47
"1586","SAS","CHI",2016-12-25,1,-8.5,1,0.796644311301027,1,0.796644311301027,1,0.796895294338235,1,"1","1",0.779927829186861,1,0.799907028675079,0.96
"1587","DEN","SAC",2017-01-03,0,-3.5,1,0.520286432530314,1,0.520286432530314,1,0.532580594025128,1,"1","1",0.573238032790439,1,0.531836867332458,0.69
"1588","LAC","MEM",2017-01-04,1,1.5,0,0.661784154707102,1,0.661784154707102,1,0.654639836671608,1,"1","1",0.633797973410111,1,0.668048977851868,0.78
"1590","PHI","TOR",2017-01-18,1,5.5,0,0.242766622660252,0,0.242766622660252,0,0.237018538304053,0,"0","0",0.275878916872759,0,0.231768757104874,0.16
"1592","MIL","DET",2017-02-13,1,-2.5,1,0.76482171444191,1,0.76482171444191,1,0.653718384591961,1,"1","1",0.655512535569778,1,0.666938126087189,0.86
"1593","MIL","UTA",2017-02-24,0,3.5,0,0.50970873975017,1,0.50970873975017,1,0.443694271959305,0,"1","0",0.480946539189062,0,0.453053802251816,0.56
"1594","SAC","CHA",2017-02-25,0,3.5,0,0.599165636307421,1,0.599165636307421,1,0.58918709982959,1,"1","1",0.555540813676796,1,0.574980080127716,0.55
"1597","NOP","MEM",2017-03-21,1,-2.5,1,0.58490447388597,1,0.58490447388597,1,0.495556673215923,0,"1","1",0.561184381633992,1,0.511618077754974,0.64
"1599","BOS","MIL",2017-03-29,0,-7.5,1,0.654564487718805,1,0.654564487718805,1,0.593811730098014,1,"1","1",0.606811516774915,1,0.613101720809937,0.82
"1603","PHX","DAL",2017-04-09,1,-2.5,1,0.458925241685663,0,0.458925241685663,0,0.486847427959169,0,"1","0",0.518513862023258,1,0.486142635345459,0.46
"1608","SAS","ATL",2013-12-02,1,-12,1,0.895295748568597,1,0.895295748568597,1,0.840395365531338,1,"1","1",0.838444971766133,1,0.845484852790833,1
"1609","CHI","NOP",2013-12-02,0,-7,1,0.490914855403515,0,0.490914855403515,0,0.524948555480083,1,"1","1",0.526671019551767,1,0.528100490570068,0.44
"1622","GSW","IND",2014-01-20,0,-2,1,0.435061389184862,0,0.435061389184862,0,0.380157355149186,0,"0","0",0.400777946727639,0,0.398523956537247,0.35
"1623","CHA","LAC",2014-01-22,1,6,0,0.285405369856661,0,0.285405369856661,0,0.358214075673825,0,"0","0",0.40102856043116,0,0.355810850858688,0.34
"1626","DEN","DAL",2014-03-05,1,5,0,0.45819466124358,0,0.45819466124358,0,0.320705897588892,0,"0","0",0.386712862097165,0,0.360241681337357,0.2
"1628","IND","PHI",2014-03-17,1,-19,1,0.939888103051986,1,0.939888103051986,1,0.920665536482921,1,"1","1",0.899177010291325,1,0.919161736965179,0.87
"1632","LAC","DAL",2014-04-03,0,-4,1,0.699055983554524,1,0.699055983554524,1,0.681038534522712,1,"1","1",0.681746631566166,1,0.687694311141968,0.87
"1635","OKC","SAC",2014-11-09,1,2,0,0.296669434755753,0,0.296669434755753,0,0.236875984049189,0,"0","0",0.259291223214903,0,0.247267857193947,0.26
"1636","OKC","DET",2014-11-14,0,-3,1,0.616543956710367,1,0.616543956710367,1,0.615655970055507,1,"1","1",0.599348049026939,1,0.593323111534119,0.79
"1640","UTA","ORL",2014-12-05,0,-5,1,0.687772856490548,1,0.687772856490548,1,0.712261852797444,1,"1","1",0.666372555425278,1,0.715591311454773,0.7
"1643","HOU","POR",2014-12-22,1,-5,1,0.455207893123886,0,0.455207893123886,0,0.453507003666179,0,"0","0",0.45601996132104,0,0.434263080358505,0.33
"1645","NOP","MEM",2015-01-09,1,-1,1,0.40313978047981,0,0.40313978047981,0,0.460475349059794,0,"0","0",0.501644013445719,1,0.451259106397629,0.45
"1648","IND","TOR",2015-01-27,0,3,0,0.303873209353785,0,0.303873209353785,0,0.393538670366811,0,"0","0",0.428066183762122,0,0.39681950211525,0.49
"1653","LAL","BOS",2015-02-22,1,3,0,0.428053018789644,0,0.428053018789644,0,0.430114541977207,0,"0","0",0.442089293759795,0,0.426947802305222,0.4
"1658","MIL","CLE",2015-03-22,0,8,0,0.49180281682199,0,0.49180281682199,0,0.48194836601637,0,"0","0",0.470009957963376,0,0.472372680902481,0.35
"1661","DAL","POR",2015-04-15,1,-6,1,0.569518444251778,1,0.569518444251778,1,0.552387251131962,1,"1","1",0.569106550569705,1,0.564820110797882,0.59
"1663","SAC","SAS",2015-11-09,0,8,0,0.149878820346512,0,0.149878820346512,0,0.160127810427015,0,"0","0",0.202879937322927,0,0.17051762342453,0.22
"1665","PHX","NOP",2015-11-25,0,-4,1,0.844134190178165,1,0.844134190178165,1,0.801404586788078,1,"1","1",0.755058752555634,1,0.795671343803406,0.93
"1668","BKN","HOU",2015-12-08,1,5,0,0.436080891157763,0,0.436080891157763,0,0.485281716177079,0,"1","0",0.497456092032172,0,0.478818506002426,0.54
"1673","UTA","POR",2015-12-31,1,-3,1,0.504550463101502,1,0.504550463101502,1,0.564858846109126,1,"0","1",0.558689200180753,1,0.549826443195343,0.52
"1675","BKN","TOR",2016-01-06,0,7,0,0.348535122460294,0,0.348535122460294,0,0.324600434741832,0,"0","0",0.378084425584822,0,0.328235805034637,0.1
"1679","IND","LAL",2016-02-08,1,-12,1,0.913654047134566,1,0.913654047134566,1,0.898056631017939,1,"1","1",0.857432746728385,1,0.89860999584198,0.93
"1681","MIN","NYK",2016-02-20,0,-2,1,0.539588000762287,1,0.539588000762287,1,0.589717275176334,1,"1","1",0.595690763888427,1,0.575921475887299,0.69
"1683","MIL","HOU",2016-02-29,1,3,0,0.430114469844968,0,0.430114469844968,0,0.521568709608758,1,"1","1",0.538258415733532,1,0.510511100292206,0.58
"1685","GSW","ORL",2016-03-07,1,-16,1,0.901588040429049,1,0.901588040429049,1,0.86223231325146,1,"1","1",0.837512510252626,1,0.870514869689941,0.93
"1688","ATL","DEN",2016-03-17,1,-8,1,0.763097668848535,1,0.763097668848535,1,0.710839375848859,1,"1","1",0.693838869797692,1,0.700167536735535,0.79
"1689","DET","ORL",2016-03-23,1,-6,1,0.72290401711472,1,0.72290401711472,1,0.679175456965682,1,"1","1",0.650691233512108,1,0.690196692943573,0.92
"1690","GSW","PHI",2016-03-27,1,-22,1,0.961384870977135,1,0.961384870977135,1,0.951200942778486,1,"1","1",0.927379796513719,1,0.950759410858154,1
"1691","CHI","CLE",2016-04-09,1,7,0,0.316499273338773,0,0.316499273338773,0,0.34616268326321,0,"0","0",0.363456043945224,0,0.344591528177261,0.16
"1692","PHX","SAC",2016-04-11,0,-6,1,0.423249343831703,0,0.423249343831703,0,0.44231589399988,0,"0","0",0.45914398570273,0,0.435152590274811,0.29
"1693","MIL","IND",2016-04-13,0,-5,1,0.393903319613016,0,0.393903319613016,0,0.428781597575639,0,"0","0",0.419575859313748,0,0.436385631561279,0.31
"1697","MIN","SAS",2016-12-06,0,4,0,0.317913862219216,0,0.317913862219216,0,0.390429671278128,0,"0","0",0.417094765339478,0,0.369214296340942,0.24
"1698","SAS","PHX",2016-12-28,1,-11,1,0.883201549452237,1,0.883201549452237,1,0.894292491615423,1,"1","1",0.863170337821658,1,0.887825608253479,0.94
"1702","TOR","MIL",2017-01-27,1,-6,1,0.714797092556728,1,0.714797092556728,1,0.648663764845977,1,"1","1",0.636949212996817,1,0.652248799800873,0.68
"1703","CHA","SAC",2017-01-28,0,-7,1,0.730778807619991,1,0.730778807619991,1,0.721754506431705,1,"1","1",0.717751151968696,1,0.7309250831604,0.8
"1705","POR","DAL",2017-02-03,0,-6,1,0.60530184166849,1,0.60530184166849,1,0.550706900131549,1,"1","1",0.576636346808297,1,0.578071475028992,0.64
"1713","LAC","SAC",2013-11-23,1,-10.5,1,0.72008763457417,1,0.72008763457417,1,0.746344193160229,1,"1","1",0.711856202306044,1,0.746950566768646,0.89
"1717","DET","LAL",2013-11-29,0,-5.5,1,0.679451024789146,1,0.679451024789146,1,0.61362744294077,1,"1","1",0.585284315665717,1,0.629127144813538,0.7
"1721","DEN","OKC",2013-12-17,0,2.5,0,0.436255122156321,0,0.436255122156321,0,0.434751340107079,0,"0","0",0.43512434942429,0,0.447003692388535,0.34
"1723","DET","WAS",2013-12-30,0,-2.5,1,0.444388136300511,0,0.444388136300511,0,0.483128018059055,0,"0","0",0.503675833312087,1,0.499094694852829,0.45
"1731","PHI","IND",2014-03-14,0,16.5,0,0.153988568362128,0,0.153988568362128,0,0.133682731739993,0,"0","0",0.196485424339776,0,0.146222501993179,0.21
"1732","WAS","BKN",2014-03-15,1,2.5,0,0.639554532073813,1,0.639554532073813,1,0.621813006760776,1,"1","1",0.588837167200977,1,0.587639451026917,0.88
"1733","CHI","OKC",2014-03-17,0,2.5,0,0.452518034188574,0,0.452518034188574,0,0.40698364892799,0,"0","0",0.459272912309074,0,0.413159906864166,0.59
"1738","ORL","CHA",2014-03-28,1,4.5,0,0.501815963414488,1,0.501815963414488,1,0.392647725097605,0,"0","0",0.43106466127128,0,0.408320635557175,0.28
"1739","NOP","SAC",2014-03-31,0,-4.5,1,0.620369979724474,1,0.620369979724474,1,0.637434852691458,1,"1","1",0.639113654293533,1,0.650090157985687,0.89
"1742","TOR","CHI",2014-11-13,0,-2.5,1,0.616639576509966,1,0.616639576509966,1,0.644005413094742,1,"1","1",0.63834681028709,1,0.627226531505585,0.79
"1744","MIA","GSW",2014-11-25,0,7.5,0,0.407166014575319,0,0.407166014575319,0,0.369664365260625,0,"0","0",0.375634179867577,0,0.387475907802582,0.48
"1750","GSW","SAC",2015-01-23,1,-15.5,1,0.925586834277242,1,0.925586834277242,1,0.90742945547216,1,"1","1",0.887155154903188,1,0.911852955818176,1
"1751","MIN","MEM",2015-02-06,1,8.5,0,0.176116150098438,0,0.176116150098438,0,0.185447055772721,0,"0","0",0.224753864202065,0,0.17808698117733,0.15
"1753","MIA","NYK",2015-02-09,1,-4.5,1,0.670447758368417,1,0.670447758368417,1,0.719225304538332,1,"1","1",0.688318946089836,1,0.714523375034332,0.85
"1754","IND","NYK",2015-03-04,1,-13.5,1,0.790315282003684,1,0.790315282003684,1,0.760198621787099,1,"1","1",0.767668996104553,1,0.762388825416565,0.91
"1756","BOS","MEM",2015-03-11,1,6.5,0,0.351331992390509,0,0.351331992390509,0,0.43090817905104,0,"0","0",0.44463126951505,0,0.426532626152039,0.2
"1762","LAC","HOU",2015-11-07,0,-5.5,1,0.944515320354105,1,0.944515320354105,1,0.891674404673193,1,"1","1",0.875330217482765,1,0.906261026859283,0.96
"1772","HOU","ATL",2015-12-29,0,-3.5,1,0.517446072792122,1,0.517446072792122,1,0.457164415833633,0,"0","0",0.469034258446455,0,0.454142451286316,0.27
"1773","IND","MIL",2015-12-31,0,-5.5,1,0.797748918051285,1,0.797748918051285,1,0.77862882602384,1,"1","1",0.756629889658601,1,0.780746817588806,0.95
"1774","OKC","MEM",2016-01-06,1,-8.5,1,0.803623759551757,1,0.803623759551757,1,0.80612571192344,1,"1","1",0.783334887364009,1,0.801468431949615,0.86
"1775","ORL","WAS",2016-01-09,0,-3.5,1,0.610757270196353,1,0.610757270196353,1,0.630189541914315,1,"1","1",0.600303793319437,1,0.623208463191986,0.79
"1786","DEN","UTA",2016-04-10,0,6.5,0,0.34524313642439,0,0.34524313642439,0,0.404358996030839,0,"0","0",0.431978731290057,0,0.384889781475067,0.34
"1787","MIA","UTA",2016-11-12,0,1.5,0,0.345594922684398,0,0.345594922684398,0,0.334300088122379,0,"0","0",0.385839044575748,0,0.357994496822357,0.31
"1789","SAC","HOU",2016-11-25,0,3.5,0,0.502982676330149,1,0.502982676330149,1,0.436799693336887,0,"0","0",0.459218642203234,0,0.440094411373138,0.41
"1797","MEM","HOU",2016-12-23,1,3.5,0,0.365484857403715,0,0.365484857403715,0,0.383630991054675,0,"0","0",0.387231627936862,0,0.380390495061874,0.36
"1799","CHA","HOU",2017-02-09,0,2.5,0,0.445467494115657,0,0.445467494115657,0,0.473459009841996,0,"0","0",0.482525133406366,0,0.487114489078522,0.55
"1804","NYK","IND",2017-03-14,1,3.5,0,0.442792692514337,0,0.442792692514337,0,0.464066762383133,0,"0","0",0.482591887841992,0,0.463035881519318,0.52
"1809","BOS","ORL",2017-03-31,1,-10.5,1,0.882775044207888,1,0.882775044207888,1,0.844781826522939,1,"1","1",0.793716912470702,1,0.848284661769867,0.98
"1815","TOR","BKN",2013-11-26,0,-7,1,0.759235894602019,1,0.759235894602019,1,0.783823226605123,1,"1","1",0.778446952705647,1,0.783109486103058,0.92
"1818","LAL","PHX",2013-12-10,0,-3,1,0.449248849300535,0,0.449248849300535,0,0.427780793510217,0,"0","0",0.477019855658253,0,0.430838942527771,0.32
"1820","MIA","SAC",2013-12-20,1,-10,1,0.927871837719505,1,0.927871837719505,1,0.902182501605771,1,"1","1",0.87376574185668,1,0.901136457920074,0.96
"1828","CHA","TOR",2014-01-20,1,4,0,0.403698370765522,0,0.403698370765522,0,0.436966579099318,0,"0","0",0.483051808529265,0,0.462183773517609,0.34
"1829","TOR","LAC",2014-01-25,0,-1,1,0.566741871441715,1,0.566741871441715,1,0.543442982666285,1,"0","1",0.532268868389627,1,0.5411736369133,0.32
"1833","DAL","MIA",2014-02-18,0,2,0,0.484004938414564,0,0.484004938414564,0,0.51271023313045,1,"0","1",0.520445205369899,1,0.50830489397049,0.36
"1847","CLE","MEM",2014-12-21,1,-5,1,0.57427627787389,1,0.57427627787389,1,0.574753400344776,1,"0","1",0.526877104022846,1,0.559913218021393,0.46
"1849","GSW","SAC",2014-12-22,1,-11,1,0.831630887022889,1,0.831630887022889,1,0.844249595479287,1,"1","1",0.810849269033066,1,0.826906561851501,0.95
