HOME,MATCHUP,ROAD,GAME DATE,W/L,SPREAD,TOTAL,H.OeFG,H.OTOV,H.OREB,H.OFT,H.OeFGL5,H.OTOVL5,H.OREBL5,H.OFTL5,H.DeFG,H.DTOV,H.DREB,H.DFT,H.DeFGL5,H.DTOVL5,H.DREBL5,H.DFTL5,H.PACE,H.PIE,H.REST,H.B2B,H.TRAV,H.3IN4,R.OeFG,R.OTOV,R.OREB,R.OFT,R.OeFGL5,R.OTOVL5,R.OREBL5,R.OFTL5,R.DeFG,R.DTOV,R.DREB,R.DFT,R.DeFGL5,R.DTOVL5,R.DREBL5,R.DFTL5,R.PACE,R.PIE,R.REST,R.B2B,R.TRAV,R.3IN4,H.ORTG,H.DRTG,H.NRTG,H.ORTGL5,H.DRTGL5,H.NRTGL5,R.ORTG,R.DRTG,R.NRTG,R.ORTGL5,R.DRTGL5,R.NRTGL5,H.PPG,H.PPGA,H.PPGL5,H.PPGAL5,R.PPG,R.PPGA,R.PPGL5,R.PPGAL5,H.PTS,R.PTS,Diff,ActTotal
HOU,HOU vs. TOR,TOR,11/11/2013,W,-7,203.5,0.526515152,16.98754247,29.05660377,0.346590909,0.522427441,16.27368726,26.88172043,0.353562005,0.477056962,12.52355917,73.07692308,0.193037975,0.50678733,13.74678082,72.84482759,0.201357466,99.0864,54.84477893,2,0,0,0,0.478,13.8,33.4,0.224,0.476,13.9,33.2,0.272,0.507,14.5,77.6,0.208,0.501,13.4,76.1,0.182,90.7,48,2,0,0,1,105.5653963,101.3305753,4.234820985,105.3594148,104.9484053,0.411009505,103.7337964,100.8782705,2.855525957,106.0312142,101.5448707,4.486343496,105.5714286,103.5714286,106,107.4,95.57142857,93.85714286,96.2,93.6,110,104,-6,214
GSW,GSW vs. DET,DET,11/12/2013,W,-9,203.5,0.54973357,18.1613881,20.77464789,0.175843694,0.523690773,18.37689338,20.09569378,0.144638404,0.445561139,15.41535122,74.6223565,0.237855946,0.426713948,15.62390282,75.61983471,0.219858156,100.3268,55.91098748,3,0,0,0,0.483,14.3,31.6,0.229,0.47,13.7,31.4,0.21,0.525,16.9,73.1,0.275,0.53,17.2,73.6,0.268,94.1,46.4,1,1,1,0,101.6478849,92.72507154,8.922813393,96.23127718,88.90803697,7.323240205,103.7358465,105.8972951,-2.161448573,101.7453715,105.8451167,-4.099745235,102.5714286,96.28571429,95.6,90.8,102,102.8333333,99.8,103,113,95,-18,208
MIA,MIA vs. MIL,MIL,11/12/2013,W,-13.5,195.5,0.578998073,15.59339177,18.47389558,0.260115607,0.574585635,14.47643558,19.42857143,0.284530387,0.527422303,16.75782926,70.99236641,0.23583181,0.528645833,16.75424568,69.02173913,0.236979167,93.5032,54.56484642,3,0,0,0,0.49,15.3,22.4,0.21,0.49,15.3,22.4,0.21,0.485,15.8,68.7,0.268,0.485,15.8,68.7,0.268,92.1,48.2,3,0,0,0,110.537066,105.3857177,5.151348264,112.007942,106.1421493,5.865792664,99.23148383,103.0396703,-3.808186446,99.23148383,103.0396703,-3.808186446,105.1428571,100.8571429,103.8,99.4,94,96,94,96,118,95,-23,213
LAL,LAL vs. NOP,NOP,11/12/2013,W,3.5,199,0.464539007,14.34139079,22.86432161,0.174468085,0.465986395,14.57879576,22.04724409,0.163265306,0.513552068,12.86145113,77.46478873,0.188302425,0.50456621,12.81781149,77.23214286,0.207762557,100.71705,41.73881674,2,0,0,0,0.465,13,28.2,0.208,0.492,13.4,26.6,0.208,0.508,16,78,0.243,0.486,15.1,76.3,0.212,92.9,51.1,2,0,0,0,94.59656631,103.6597236,-9.063157259,94.09335307,102.7925634,-8.699210376,100.5988024,100.5581508,0.040651573,103.5092148,97.81308731,5.696127539,97.25,106.5,96.6,106.6,96,94.71428571,98.4,91.6,116,95,-21,211
DAL,DAL vs. WAS,WAS,11/12/2013,W,-5.5,205.5,0.510761589,14.57615088,27.72277228,0.218543046,0.507025761,14.55787203,28.5046729,0.217798595,0.507853403,16.53122003,73,0.260034904,0.496462264,16.08910891,71.36363636,0.20754717,99.148,51.68905169,3,0,0,0,0.51,14.2,24.4,0.172,0.512,13.9,23.5,0.149,0.529,16.9,72.1,0.212,0.523,16.8,72.9,0.19,97.5,46.8,2,0,0,0,106.247163,102.7493534,3.497809536,106.1768268,101.2733784,4.903448374,102.5190393,103.3137773,-0.794738069,101.8439935,101.3591338,0.484859679,107,104.4285714,105.2,101.8,105,106.8333333,105.6,105.6,105,95,-10,200
SAC,SAC vs. BKN,BKN,11/13/2013,W,4,194.5,0.459266802,12.46484275,24.23076923,0.209775967,0.459756098,12.292563,24.07407407,0.212195122,0.533119658,15.46491398,72.56637168,0.217948718,0.547557841,14.94333178,71.27659574,0.223650386,91.5908,41.76470588,4,0,0,0,0.49,15.3,23,0.235,0.496,15.5,23.3,0.236,0.486,14.5,73.2,0.255,0.494,15,75.1,0.251,94.9,48.1,4,0,0,0,98.44338617,107.5595962,-9.116210081,99.00990099,111.2122789,-12.20237789,98.61533266,101.8782208,-3.262888118,99.26262053,102.0366764,-2.774055871,92.33333333,100.1666667,92.8,102.6,97.33333333,100.1666667,98,100.6,107,86,-21,193
BOS,BOS vs. CHA,CHA,11/13/2013,L,-5.5,191.5,0.499223602,16.25426821,26.98412698,0.195652174,0.512850467,14.03768009,26,0.158878505,0.485915493,15.66315014,69.20821114,0.234741784,0.501272265,16.71495431,73.13432836,0.234096692,93.9232,49.72352191,2,0,0,0,0.443,13.4,26.4,0.283,0.45,14.2,29.4,0.315,0.499,14.3,73.9,0.205,0.512,13.4,75.8,0.209,92.6,45.8,2,0,0,0,99.84938195,101.0114244,-1.162042432,103.5962403,100.3220213,3.274218991,95.89288945,102.4925708,-6.599681353,98.61974951,105.9104886,-7.290739045,96.125,96.375,101.4,97.2,90.85714286,96.57142857,92.6,99.2,83,89,6,172
MIN,MIN vs. CLE,CLE,11/13/2013,W,-8.5,202,0.468531469,13.78403597,26.54155496,0.251748252,0.461873638,14.40729076,27.84810127,0.211328976,0.5,16.38484729,72.77777778,0.140825036,0.516241299,16.77023019,73.95348837,0.141531323,100.4648638,53.34318434,2,0,0,1,0.448,14.9,27.5,0.18,0.471,15.2,29.2,0.165,0.482,15,75.5,0.224,0.488,14.3,73.2,0.218,95.1,44.3,2,0,0,0,100.6965834,98.10637569,2.590207733,98.13154524,99.12239461,-0.990849367,93.02559461,98.89200842,-5.866413813,96.94735999,102.478551,-5.531191014,106.25,100.25,104.2,101.2,92.5,98.625,96.8,103.2,124,95,-29,219
PHI,PHI vs. HOU,HOU,11/13/2013,W,6.5,208,0.507902299,16.13114182,24.41860465,0.170977011,0.47706422,16.52778734,25,0.183486239,0.507402423,14.19181356,72.29551451,0.138627187,0.505307856,13.25178389,72.72727273,0.138004246,99.43109848,47.97412326,2,0,0,0,0.52,17.1,29.1,0.346,0.505,16.4,27.4,0.343,0.46,12.1,72.5,0.19,0.484,12.7,73,0.185,98.4,56.3,2,0,0,0,99.10255795,102.9850029,-3.882444934,94.68540012,103.5208573,-8.83545713,104.2075805,99.35759145,4.849989071,101.8391853,101.9193572,-0.080171952,103.25,107.125,99.2,108.2,106.125,103.625,107.2,109.6,123,117,-6,240
DEN,DEN vs. LAL,LAL,11/13/2013,W,-9.5,208,0.478303748,14.67241586,25.75757576,0.211045365,0.481308411,14.04594268,26.54867257,0.214953271,0.484732824,12.34790989,75.27272727,0.188931298,0.489841986,12.16545012,75.32467532,0.187358916,97.67333333,47.58064516,2,0,0,0,0.481,14.7,23.3,0.179,0.493,15.8,24.9,0.16,0.504,12.7,78.2,0.199,0.491,12.9,77.3,0.234,100.5,44.4,1,1,1,1,98.67982398,101.8319689,-3.152144887,100.3104848,102.9962547,-2.685769848,97.1021419,102.4403963,-5.338254453,97.82178218,101.6260163,-3.804234082,98.66666667,101.1666667,100.8,103.4,99.33333333,105.2222222,98.8,105,111,99,-12,210
